stars,comment
5.0 out of 5 stars,"Great, high quality weights! Easy to put together and apart. The paint is chipping a little but not a big deal."
1.0 out of 5 stars,"Only received one bar for weights. Don’t know what happened with order, didn’t get correct weights, I ordered 50 lbs and got 40."
1.0 out of 5 stars,"I ordered 60 pounds total and only 52 pounds arrived (8 x 4 disks, 5 x 4 disks)..."
5.0 out of 5 stars,I ordered this for my 16 year old son and he loves it!  He’s been using it everyday since he got it.  His friends have even asked where I got it.  It’s very sturdy!
5.0 out of 5 stars,Bought this for hubby and he loves it. Good quality. Wi have it for years to come
5.0 out of 5 stars,"So if you compare these dumbells to other adjustable dumbells, these are harder to adjust. the reason this had an edge over other adjustable dumbless is that you can attach it to the bar to create a barbell. I don't mind the hassle of adjusting my weights over the convenience of exercising home"
4.0 out of 5 stars,"Handle is a bit thin, which I consider as a neutral moment: concentration on holding is also a good exercise. Main problem is that holding lug can get loose especially if someone in the family relocates these by rolling; every time forced to check if its tight enough.If price is right - go for it."
5.0 out of 5 stars,I ordered the 40lb set. It is great. Easy to switch weights. I just started adding weight training and this set is perfect for me.
1.0 out of 5 stars,Bought this along with the dumbbells thinking it would be a great option to transition into a barbell. It won’t even screw on to the end of the dumbbells. Looks like the treads are completely different. Wish I wouldn’t have waited this long to try it since now I can’t return it. Waste of money
5.0 out of 5 stars,"Affordable, good quality weights.I’ve been using them for a couple months now and I’m very happy with how they’ve held up."
5.0 out of 5 stars,These are really awesome and very easy to install and good quality. Really liked these for the price the offer.
5.0 out of 5 stars,"great deal, especially for being shipped. I don't like how large the diameter the 10lb plates are, but not enough for a bad review"
5.0 out of 5 stars,I don’t usually purchase things more than 50 bucks online but I am so glad I bought these!! Best weights I’ve ever owned and at a great price. I highly recommend these!
2.0 out of 5 stars,"Broke after 2 weeks. The idea and design is cool, but this adjustable kettlebell has plastic spindles and a plastic threaded middle part. This material will not last long term. I will probably buy some metal alternatives I saw on Amazon. Also, somw of the images in description seem to be for a different product. I got the adjustable kettlebell."
1.0 out of 5 stars,The screw is not tight enough. The weight discs will fall off easily
5.0 out of 5 stars,Extremely good quality for the price. You could use these everyday and never run into a problem.
4.0 out of 5 stars,"I like it. It is designed to do what it was supposed to do.  The locks can get loosen when you roll the dumbbells a little but as long as you remember how to tighten it, you are fine.  Paying 1 dollar per lb. Is a fairly decent price.  I'm not too picky about how it looks, it gets the job done."
5.0 out of 5 stars,Exactly as described. Very sturdy better than sand weights. Good for and starter.
5.0 out of 5 stars,Perfect for when you share weights with someone who lifts more than you do! Easy to change out and easy to grip.
5.0 out of 5 stars,Very nice looking nice painting.. durable materials solid colors nice grip.. very easy and confortable at the hand
2.0 out of 5 stars,"My husband was only able to put together one of the dumbells, it was missing parts. We had to go to academy to find them."
4.0 out of 5 stars,Ordered 2 dumbbells which arrived two days apart. One of the boxes were ripped open from the travel but all the weights were present. All in all the dumbbells are great. Customer service for yes4all responded in about a day which is pretty good. I would definitely recommend!!!!
5.0 out of 5 stars,I used it on a boat. Some times I don't like to spend extra time for replacing waits. But over I like it!
4.0 out of 5 stars,"For the money they are a great value. Don't expect Olympic quality, but they are a decent set for a good price."
5.0 out of 5 stars,Use them all the time
3.0 out of 5 stars,The rods have too much left over length after the weight are put on.
5.0 out of 5 stars,Gr8
3.0 out of 5 stars,Not a fan of the paint smell when I lift the weight close to my nose. Otherwise good weights
4.0 out of 5 stars,Good quality product. Im glad I bought it.
4.0 out of 5 stars,I use them nearly every day for exercising. Very satisfied. The only downside is you do have to tighten them constantly.
5.0 out of 5 stars,I love the versatility of these weights without having to take up the extra space required for multiple weights.
5.0 out of 5 stars,"product came as expected, also earlier than expected. like it very much !"
3.0 out of 5 stars,The barbell clamps unscrew on these very easily. If you're just looking for weights to lift these are the cheapest alternatives.
4.0 out of 5 stars,The only thing stopping them from getting 5 stars is that they won't sell a connector bar individually. I hear they also won't sell individual weights. But the product is otherwise everything I want.
5.0 out of 5 stars,Very nice set for price paid.
5.0 out of 5 stars,These weights are perfect for home training they quickly turned my studio apartment into an effective home gym I’m a long time lifter and I love the raw true gym feel of these weights
5.0 out of 5 stars,They work great. The weights are secured tightly. the black paint did flake of a bit when they first arrived.
5.0 out of 5 stars,ok
5.0 out of 5 stars,"These are well built, can be added to and perfect for my home gym. I just put in an order for the bar that connects them together. Will be getting more weights as I go along."
5.0 out of 5 stars,"Nice product, thank you!"
5.0 out of 5 stars,"Well packaged and easy to setup and go. Didn't have much of a smell that other were talking about, but I wiped it all down once over anyways."
2.0 out of 5 stars,The weights arrived extremely chipped and damaged. I was very disappointed in the poor quality when compared to similarly priced competitors.
5.0 out of 5 stars,"Works great easy to adjust you can do two 8 five pundits weights for 45 pounds (5 pound bar), or you can do one dumbbell at 75 pounds."
5.0 out of 5 stars,Love them!
5.0 out of 5 stars,I ordered the 105lb weight set and they arrived within 3 days of placing the order! There was virtually no odor. I’m doing a second round of 80 day obsession and really needed those in between weight sizes (like 17.5). This was the best deal to get all of those instead of buying individual dumbbells
5.0 out of 5 stars,"Great product, great value."
5.0 out of 5 stars,Lot of weights at good price. Good finish.
5.0 out of 5 stars,"Great product for the price. Just as advertised and works well. Only (minor) flaw, which is explained, is that the size is not ""standard"" and hard to find extra weights or replacement. Look into it before purchasing. I am happy overall."
5.0 out of 5 stars,Good value for the price. Totally intend on toning up with these
5.0 out of 5 stars,Excellent quality dumbbells.  I was unsure based on the price but I was pleasantly surprised to see just how solid and well built these are.
5.0 out of 5 stars,AWESOME CUSTOMER SERVICE! ASWOME PRODUCT
1.0 out of 5 stars,"The product arrived on time but with only one star collar. This ultimately makes the product unusable since there is nothing to hold the weights on one side in place. Otherwise, this does appear to be a quality product."
1.0 out of 5 stars,The painting on the dumbbells start flaking off and even got stuck in my friends hand. Even started rusting on the weights that is... P.S I have been storing them in dry areas
1.0 out of 5 stars,"Paid For 105 lb. weights- Received Only 85 lbs. Poor Quality Also. As it was a Christmas Gift So, I had to Order elsewhere- to make it Good!!! Do Not Buy “Yes4all” You will be Disappointed—"
5.0 out of 5 stars,My husband loves the ease of adjusting the weight for different exercises.  The big selling point was the connector bar that allows the dumbbells to be turned into a barbell.
4.0 out of 5 stars,"Well, I guess my heading is kinda self-explanatory. I've been looking around for weeks before deciding on this because most dumbbells are reviewed as being stinky, flimsy or they are simply too expensive. This is a perfectly normal dumbbell, works to my needs, gave it 4 stars as I have not tried adding on the 7.5lbs weights yet."
5.0 out of 5 stars,"Got 60lb pair and can’t ask for a better quality for the price, I had to wait for almost 2 months for these to arrive but worth the wait, definitely recommend."
5.0 out of 5 stars,"Nice build to them. Lock seems to loosen after a few sessions but nothing you won't notice and screw back tighter. No worries of it coming loose and dropping on your foot lol. Other than that, great weights."
5.0 out of 5 stars,"These weights have been helping get into shape. They're simple, to the point, so no needless flair. Having them shipped to me was a bit of a hassle since the box came open with two pieces missing: a collar to hold the weights and a light weight. It took the company a bit but we're able to help me out!"
5.0 out of 5 stars,They're prefect! Totally love that they're adjustable and you can either add or take weight off the dumbbells depending on what workout you're doing!
5.0 out of 5 stars,This 60 lb dumbbell is a good one. It was sent in a set of paper box.
5.0 out of 5 stars,"Great for the price, very well made and very heavy, after I ordered them I got them 2 days later, much better and a lot cheaper than the adjustable dumbbells that cost upwards of $300-500. This is a much better buy!!!!!!!"
5.0 out of 5 stars,Great product!
5.0 out of 5 stars,Perfect at home workout equipment! Good to use to add some strength conditioning right in your own living room!
5.0 out of 5 stars,Got exactly what I wanted
5.0 out of 5 stars,The product arrived fairly quickly and the quality of them is good and i can see it lasting a long time. all pieces came in one package. so far so good !
5.0 out of 5 stars,"Well built, good product!"
4.0 out of 5 stars,"just got these and used them a few times.  it's a pretty basic product, but the materials are good quality, the manufacturing is clean, the wing-nut screws on smoothly... I'm pleased with my purchase and for the price, consider it a good value."
1.0 out of 5 stars,The paint started chipping right out of the box and gets everywhere. Super annoying to clean up.
5.0 out of 5 stars,"If you are looking for straightforward dumb bells these fit the bill. Solid bars, solid screw on collars. The weights are nice. I use these for a variety of arm workouts from standard curls, to butterflies, rows, etc."
5.0 out of 5 stars,"Just got my order of these dumb bells i ordered the 105lb set and yes they do come in 2 different packages,i am still waiting for the 2nd package not a big deal.I have noticed on some other reviews that the plates give off some sort of an odor/smell,chipping paint from the plates,well i haven't noticed any paint chipping yet but i have left my first set in the garage but when i put the weight to my nose i did smell i slight smell or odor like a paint or something but not something i could smell instantly,probably not that  bad that i noticed it straight away.The weights are just under 1"" thick.The reason i bought this set was for home use for me and my wife when we can't go to the gym.Its nice simple starter dumbbell set.I will update a further review when i get the 2nd package and have used the both dumb bells.Just wanted to edit my review i did get the 2nd package about 4 days after the 1st package came.Started using the dumb bells and i like them great so far."
2.0 out of 5 stars,Adding additional plates does not fit.  The center hole is too small.
